Nearest_Mark,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,34,34,35,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,42,42,42,42,42,42,42,42,42,42,43,43,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,44,44,44,49,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51,51,52,52,52,52,52,52,52,52,52,52,53,53,53,53,53,53,53,53,53,53,54,54,54,54,54,54,54,54,54,54,55,55,55,55,55,55,55,55,55,55,56,56,56,56,56,56,56,56,56,56,57,57,57,57,57,57,57,57,57,57,58,58,58,58,58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,60,60,61,61,61,61,61,61,61,61,61,61,62,62,62,62,62,62,62,62,62,62,63,63,63,63,63,63,63,63,63,63,64,64,64,64,64,64,64,64,64,64,65,65,65,65,65,65,65,65,65,65,66,66,66,66,66,66,66,66,66,66,67,67,67,67,67,67,67,67,67,67,37,37,37,37,37,37,37,37,37,37,45,45,45,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48
Label,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS,SIZE,VERTICAL,TIES1,TIES2,TIES3,TYPE,PSI,COUPLER,LAP,DOWELS
Nearest_Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEVEL 01,12 x 56,14 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",14ARC,,,,,16 x 30,8 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,,8 x 36,6 - #7,"#3 @ 6""","#3 @ 8""","#3 @ 6""",6R,,,,,12 x 56,14 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",14ARC,,,,,12 x 56,14 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",14ARC,,,,,24 x 36,12 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,,24 x 36,12 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,,24 x 36,8 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,,8 x 36,6 - #7,"#3 @ 6""","#3 @ 8""","#3 @ 6""",6R,,,,,8 x 36,6 - #7,"#3 @ 6""","#3 @ 8""","#3 @ 6""",6R,,,,,24 x 36,12 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,,24 x 36,12 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,,24 x 36,12 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,,24 x 36,16 - #11,"#4 @ 6""","#4 @ 12""","#4 @ 6""",16R,,,,,14 x 24,12 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,,14 x 24,12 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,,24 x 36,12 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,,24 x 36,12 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,,24 x 36,12 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,,24 x 36,18 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",18R,,,,,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,,24 x 36,8 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,,24 x 36,8 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,,24 x 36,8 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,,24 x 36,8 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,,24 x 30,6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,,"36"" dia",10 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","36"" dia",,,,,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,,16 x 30,8 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,,14 x 24,12 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,,"30"" dia",8 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,,16 x 30,8 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,,16 x 30,8 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,,16 x 30,8 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,,16 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,,"24"" dia",8 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""","24"" dia",,,,,"24"" dia",8 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""","24"" dia",,,,,"24"" dia",8 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""","24"" dia",,,,,"24"" dia",8 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""","24"" dia",,,,,18 x 30,10 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",10R,,,,,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,,12 x 56,14 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",14ARC,,,,,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,,12 x 56,14 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",14ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 x 36,8 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,,"36"" dia",10 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","36"" dia",,,,,"36"" dia",10 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","36"" dia",,,,,"36"" dia",10 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","36"" dia",,,,,36 x 36,12 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,
